	year	month	day	        T1	        T2	        T3	        O1	        O2	        O3
	1990	   11	  3	   -72.544	   -71.760	   -56.442	      28.1	      22.5	      39.7
	1990	   11	  5	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1990	   11	 21	   -67.452	   -64.408	   -47.916	      28.9	      30.7	      49.9
	1990	   11	 24	   -69.904	   -63.490	   -44.154	      24.1	      28.3	      43.4
	1990	   11	 26	   -65.300	   -59.686	   -39.570	      26.8	      30.9	      47.4
	1990	   11	 29	   -66.672	   -56.580	   -35.337	      23.2	      32.0	      53.7
	1990	   12	  3	   -60.834	   -47.764	   -32.715	      27.6	      41.4	       NaN
	1990	   12	  6	   -60.490	   -52.089	       NaN	      30.4	       NaN	       NaN
	1990	   12	 10	   -61.360	   -47.080	   -29.106	      30.0	      44.5	      79.0
	1990	   12	 14	   -56.586	       NaN	       NaN	      30.9	       NaN	       NaN
	1990	   12	 20	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1991	    1	  5	   -47.206	   -36.865	   -30.884	      32.8	      69.1	      74.7
	1991	    1	 10	   -44.248	   -35.790	   -31.198	      35.5	      70.3	      67.2
	1991	    1	 17	   -41.914	   -39.400	   -35.294	      34.7	      71.8	      71.0
	1991	    1	 24	   -43.640	   -39.692	   -36.682	      37.9	      70.1	      59.5
	1991	    1	 31	   -44.074	   -39.724	   -37.394	      44.0	      78.5	      57.9
	1991	    2	  8	   -43.848	   -42.432	   -39.568	      34.4	      69.8	      65.8
	1991	    2	 14	   -44.486	   -42.840	   -40.734	      39.0	      69.6	      69.2
	1991	    2	 22	       NaN	       NaN	       NaN	      24.6	      50.2	      69.5
	1991	    2	 28	   -44.848	   -44.902	   -43.512	      42.4	      69.9	      69.8
	1991	    3	  7	   -47.128	   -46.960	   -46.420	      38.2	      71.1	      68.8
	1991	    3	 14	   -47.520	   -47.584	   -47.914	      47.1	      82.4	      66.0
	1991	    3	 21	   -49.430	   -51.042	       NaN	      47.1	      87.3	       NaN
	1991	    3	 28	   -51.020	   -54.530	   -56.734	      49.6	      88.9	       NaN
	1991	    4	  5	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1991	    4	 11	   -52.254	   -59.396	   -64.468	      44.0	      89.5	      60.6
	1991	    4	 18	   -55.420	   -61.846	   -67.200	      44.1	      91.2	       NaN
	1991	    4	 25	   -59.104	   -65.320	   -68.756	      42.0	      92.7	      56.7
	1991	    5	  2	   -58.810	   -66.908	   -71.910	      40.8	      88.7	      59.6
	1991	    5	 11	   -65.760	   -74.592	   -78.876	      35.8	      94.7	      48.5
	1991	    5	 16	   -63.728	   -73.648	   -78.342	       NaN	       NaN	       NaN
	1991	    5	 23	   -65.124	   -76.910	   -82.400	      48.8	     103.6	      48.2
	1991	    5	 30	   -69.616	   -78.266	   -83.382	      49.2	     109.6	      53.9
	1991	    6	  6	   -69.740	   -79.037	   -82.193	      44.2	      94.3	      49.7
	1991	    6	 13	   -23.540	   -45.346	       NaN	       NaN	       NaN	       NaN
	1991	    6	 14	   -68.460	   -77.924	       NaN	      50.5	       NaN	       NaN
	1991	    6	 21	   -74.006	   -83.740	   -88.078	      32.1	      82.5	      50.7
	1991	    6	 29	   -75.572	   -85.210	   -89.418	      37.8	      97.0	      53.3
	1991	    7	  4	   -75.610	   -85.390	   -89.196	      47.9	      95.4	      48.9
	1991	    7	 11	   -78.570	   -86.882	   -89.100	      40.1	      97.7	      53.4
	1991	    7	 19	   -75.960	   -86.596	   -88.814	      47.8	      93.8	      53.9
	1991	    7	 25	   -76.882	   -87.154	   -90.100	      50.5	     102.2	      56.3
	1991	    8	  4	   -77.696	   -87.686	   -89.476	      41.9	      91.4	      57.1
	1991	    8	  9	   -79.554	   -89.206	   -90.680	      41.3	      89.5	      52.6
	1991	    8	 15	   -79.230	   -88.760	   -90.270	      37.3	      89.0	      55.3
	1991	    8	 22	   -79.158	   -88.358	   -87.962	      50.0	     100.9	      57.0
	1991	    8	 29	   -78.820	   -87.310	   -87.038	      44.2	      90.7	      57.9
	1991	    9	  4	   -81.046	   -87.072	   -82.650	      33.7	      69.5	      49.6
	1991	    9	  9	   -80.210	   -86.440	   -83.502	      42.0	      54.7	      40.8
	1991	    9	 12	   -78.600	   -85.376	   -81.824	      33.6	      59.1	      47.9
	1991	    9	 21	   -84.480	   -88.088	   -80.840	      16.1	      33.5	      35.6
	1991	    9	 24	   -78.536	   -82.528	   -75.502	      28.8	      25.1	      38.5
	1991	    9	 27	   -80.504	   -84.078	   -73.264	      22.7	      18.8	      37.9
	1991	    9	 30	   -78.274	   -83.180	   -74.444	      24.3	      15.5	      35.3
	1991	   10	  3	   -72.966	   -78.786	   -70.950	      27.6	      10.9	      38.6
	1991	   10	  7	   -72.626	   -75.512	   -65.894	      22.7	       8.6	      33.0
	1991	   10	 10	   -75.840	   -77.910	   -61.550	      21.9	      12.6	      39.0
	1991	   10	 12	   -74.160	       NaN	       NaN	      22.6	       NaN	       NaN
	1991	   10	 12	   -73.858	   -77.076	   -62.674	      20.7	      12.1	      43.1
	1991	   10	 15	   -72.718	   -74.672	   -58.274	      16.8	       8.9	      42.3
	1991	   10	 18	   -71.936	   -74.788	   -57.214	      20.1	       8.9	      40.8
	1991	   10	 21	   -72.456	   -72.992	   -56.246	      17.2	      10.9	      40.3
	1991	   10	 28	   -69.846	   -63.824	   -38.214	      14.7	      20.6	      49.8
	1991	   10	 30	   -69.618	   -62.840	   -35.736	      17.0	      23.4	      51.4
	1991	   11	  2	   -70.290	   -64.528	   -41.744	      19.3	      25.9	      43.1
	1991	   11	  5	   -70.904	   -61.167	   -34.065	      16.3	      28.3	      53.0
	1991	   11	  8	   -71.732	   -56.304	   -24.994	      16.2	      36.9	      77.0
	1991	   11	 11	   -65.378	   -59.088	   -37.834	      19.1	      29.7	      47.4
	1991	   11	 25	   -44.942	   -37.542	   -32.342	      38.3	      92.7	      85.1
	1991	   12	  2	   -52.486	   -37.018	   -30.248	      25.1	      68.3	      88.5
	1991	   12	  9	   -52.258	   -38.360	   -31.166	       NaN	       NaN	       NaN
	1991	   12	 16	   -43.532	   -38.534	   -32.576	      31.9	      80.5	      83.8
	1991	   12	 23	   -43.176	   -38.422	   -33.258	      36.6	      76.5	      58.9
	1992	    1	 13	   -41.088	   -37.888	   -35.744	      37.7	      76.3	      57.7
	1992	    1	 20	   -43.346	   -39.322	   -37.092	      39.5	      80.3	      62.6
	1992	    1	 27	   -44.114	   -40.106	   -38.348	      43.0	      76.6	      47.2
	1992	    2	  3	   -44.054	   -40.728	   -37.644	      41.3	      80.1	      81.0
	1992	    2	 10	   -44.292	   -41.720	   -40.608	      45.4	      76.3	      52.5
	1992	    2	 23	   -45.922	   -44.862	   -42.366	      45.8	      80.7	      64.9
	1992	    3	  1	   -45.324	   -45.704	   -44.280	      50.4	      87.8	      63.1
	1992	    3	  8	   -46.828	   -47.298	   -46.112	      58.8	      94.3	      71.0
	1992	    3	 15	   -50.088	   -51.902	   -51.108	      50.0	      96.3	      66.1
	1992	    3	 22	   -48.440	   -51.716	   -53.314	      45.1	      83.3	      64.6
	1992	    3	 29	   -51.892	   -54.081	   -55.817	      45.5	      90.4	      58.0
	1992	    4	  5	   -55.732	   -58.388	   -59.784	      45.9	      93.4	      63.7
	1992	    4	 12	   -57.286	   -62.168	   -64.386	      53.6	      96.6	      66.0
	1992	    4	 19	   -55.650	   -61.370	   -65.453	      55.7	      94.9	      58.0
	1992	    4	 27	   -63.018	   -70.233	   -72.715	       NaN	      90.2	      68.0
	1992	    5	  3	   -61.936	   -71.396	   -76.250	      30.6	      75.8	      65.9
	1992	    5	 17	   -65.516	   -73.818	   -78.866	      44.4	      96.4	      70.5
	1992	    5	 26	   -66.306	   -77.680	   -81.852	      37.5	      96.1	      61.4
	1992	    5	 31	   -66.123	       NaN	       NaN	      48.1	       NaN	       NaN
	1992	    6	  3	   -65.660	   -77.262	       NaN	      42.2	      75.0	       NaN
	1992	    6	  6	   -69.372	   -79.202	       NaN	      50.9	      96.2	       NaN
	1992	    6	 22	   -71.500	   -83.478	   -88.145	      42.3	      85.4	       NaN
	1992	    6	 28	   -74.368	   -83.181	       NaN	      43.1	       NaN	       NaN
	1992	    7	  5	   -78.712	   -87.642	   -91.376	      25.9	      73.8	      62.0
	1992	    7	 12	   -75.030	   -86.318	   -91.187	      43.2	      93.4	       NaN
	1992	    7	 19	   -76.438	   -87.298	   -92.435	      51.8	      90.7	      61.9
	1992	    7	 25	   -80.750	   -89.380	   -92.320	      44.8	      90.3	      55.5
	1992	    8	  1	   -77.960	   -87.590	   -89.414	      51.8	      88.9	      56.1
	1992	    8	 10	   -79.572	   -88.504	   -89.512	      49.1	     107.9	      65.0
	1992	    8	 15	   -82.992	   -90.962	   -90.774	      29.2	      85.5	      56.4
	1992	    8	 21	   -82.106	   -88.916	   -88.212	      41.5	      98.4	      52.8
	1992	    8	 24	   -78.366	   -86.772	   -87.730	      57.4	      98.1	      54.6
	1992	    8	 27	   -81.670	   -86.852	   -83.790	      53.5	      97.9	      51.8
	1992	    8	 30	   -79.488	   -85.904	   -82.315	      61.3	      98.5	      52.8
	1992	    9	  2	   -80.194	   -86.472	   -81.944	      38.7	      76.9	      48.0
	1992	    9	  5	   -82.164	   -86.213	   -80.360	      37.1	      74.2	      47.5
	1992	    9	  8	   -83.964	   -89.232	   -84.324	      25.9	      42.6	      42.1
	1992	    9	 11	   -76.880	   -82.645	   -79.204	      38.1	      59.5	      30.1
	1992	    9	 14	   -81.902	   -83.315	       NaN	      27.7	      59.1	       NaN
	1992	    9	 17	   -82.436	   -84.524	   -76.586	      23.6	      52.0	      36.7
	1992	    9	 20	   -81.596	   -83.722	   -75.814	      21.2	      51.3	      36.1
	1992	    9	 23	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1992	    9	 27	   -79.150	   -82.558	   -73.906	      19.9	      15.2	      37.1
	1992	    9	 29	   -76.394	       NaN	       NaN	       NaN	       NaN	       NaN
	1992	    9	 29	   -77.428	   -78.988	   -68.770	      14.5	      12.1	      37.5
	1992	   10	  2	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1992	   10	  6	   -75.930	   -76.731	   -61.848	      11.4	      11.3	       NaN
	1992	   10	  8	   -76.695	   -77.666	       NaN	       NaN	       NaN	       NaN
	1992	   10	 11	   -80.026	   -78.760	   -65.562	      11.7	       8.1	      32.7
	1992	   10	 14	   -79.504	   -75.892	   -53.337	       9.4	       9.6	      42.6
	1992	   10	 17	   -72.842	   -70.886	   -50.915	       6.8	      12.2	      39.3
	1992	   10	 21	   -70.618	   -64.920	   -43.239	      15.0	      19.3	       NaN
	1992	   10	 23	   -72.114	   -64.064	   -39.049	      12.9	      23.0	      52.0
	1992	   10	 26	   -74.412	   -69.570	   -46.640	      13.5	      15.4	      43.9
	1992	   10	 29	   -71.074	   -62.928	   -36.608	      11.1	      23.3	      56.1
	1992	   11	  1	   -71.714	   -64.002	   -40.500	      10.1	      21.5	      45.1
	1992	   11	  4	   -70.540	   -63.964	   -36.842	      15.9	      20.8	      56.5
	1992	   11	  8	   -70.020	   -61.100	   -37.892	      17.6	      24.3	      52.2
	1992	   11	 11	   -67.896	   -60.476	   -39.646	      16.6	      25.4	      46.7
	1992	   11	 14	   -67.766	   -59.442	   -39.418	      14.0	      24.4	      49.0
	1992	   11	 17	   -66.210	   -57.368	   -38.286	      13.5	      25.9	      45.5
	1992	   11	 21	   -65.052	   -53.010	   -32.776	      15.1	      30.5	      48.1
	1992	   11	 24	   -62.948	   -53.288	   -34.576	      13.7	      28.8	      47.8
	1992	   11	 30	   -63.314	   -52.952	   -34.890	      14.5	      24.8	      43.0
	1992	   12	  7	   -59.444	   -44.192	   -30.442	      21.8	      47.9	      80.9
	1992	   12	 30	   -43.122	   -38.470	   -33.792	      32.7	      74.4	      79.3
	1993	    1	 14	   -43.844	   -39.882	   -35.872	      29.0	      67.3	      65.8
	1993	    1	 21	   -46.448	   -40.196	   -36.208	      29.9	      72.2	      69.3
	1993	    1	 26	   -44.128	   -39.930	   -36.686	      32.6	      68.0	      66.9
	1993	    2	  4	   -42.568	   -39.258	   -37.404	      41.1	      75.5	      77.2
	1993	    2	 10	   -43.592	   -40.260	   -38.460	      39.6	      71.2	      67.2
	1993	    2	 18	   -44.196	   -42.374	       NaN	      38.6	      78.3	       NaN
	1993	    2	 20	   -44.074	   -42.950	   -41.314	      39.3	      71.9	      70.4
	1993	    2	 25	   -42.826	   -43.392	   -42.740	      46.8	      80.0	      84.6
	1993	    3	  4	   -44.796	   -43.846	   -43.812	      40.2	      83.2	      77.6
	1993	    3	 11	   -43.980	   -43.870	   -43.812	      42.5	      96.2	      86.4
	1993	    3	 17	   -49.320	   -47.326	   -47.336	      53.7	      98.9	      85.2
	1993	    3	 24	   -50.776	   -51.634	   -53.044	      43.6	      94.6	      67.2
	1993	    3	 31	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1993	    4	  3	   -53.370	   -56.262	   -59.426	      53.1	     109.4	      75.8
	1993	    4	  7	   -55.306	   -57.892	   -61.714	      36.5	      91.7	      71.3
	1993	    4	 14	   -57.382	   -61.674	   -66.040	      47.5	      90.5	      56.4
	1993	    4	 20	   -58.844	   -65.702	   -70.510	      45.7	      97.7	      51.7
	1993	    4	 28	   -63.068	   -69.300	   -73.618	      48.9	      94.0	      61.1
	1993	    5	  4	   -64.838	   -72.292	   -76.296	      46.3	     103.9	      59.4
	1993	    5	 13	   -69.702	   -76.954	   -80.118	      40.7	      99.2	      62.5
	1993	    5	 20	   -68.467	   -77.608	       NaN	      57.0	     118.4	       NaN
	1993	    5	 27	   -69.224	   -78.882	   -83.238	      38.3	     110.0	      67.7
	1993	    6	  3	   -73.246	   -82.888	   -87.270	      34.3	      94.8	      66.0
	1993	    6	  9	   -70.482	   -82.136	   -86.676	      47.5	     111.1	      63.8
	1993	    6	 16	   -71.152	   -82.740	   -87.030	      52.0	     123.7	      62.7
	1993	    6	 23	   -74.616	   -84.768	   -87.072	      57.0	     112.9	      57.5
	1993	    7	  1	   -76.920	   -87.342	   -89.932	      50.6	     116.0	      64.4
	1993	    7	  7	   -79.670	   -88.126	   -89.340	      46.4	      84.3	      54.0
	1993	    7	 14	   -80.290	   -88.550	   -89.904	      41.7	     108.4	      57.5
	1993	    7	 22	   -80.134	   -89.126	   -91.296	      50.9	     121.7	      57.9
	1993	    7	 29	   -81.310	   -90.794	   -92.046	      46.4	     110.2	      48.3
	1993	    8	  4	   -81.648	   -89.880	   -91.056	      48.3	     105.9	      47.9
	1993	    8	  9	   -81.788	       NaN	       NaN	      42.8	       NaN	       NaN
	1993	    8	 11	   -79.348	   -89.936	   -91.442	      42.4	     100.4	      55.7
	1993	    8	 15	   -77.926	   -89.090	   -90.480	      51.5	      97.8	      56.6
	1993	    8	 17	   -77.742	   -87.662	   -88.656	      59.8	     107.8	      56.0
	1993	    8	 21	   -78.064	   -87.472	   -87.576	      42.6	      78.3	      53.4
	1993	    8	 23	   -78.652	   -86.418	   -83.816	      39.8	     108.4	      53.7
	1993	    8	 26	   -81.788	   -88.814	   -87.368	      42.8	      95.8	      53.4
	1993	    8	 29	   -84.178	   -91.428	   -88.370	      24.7	      69.1	      57.6
	1993	    9	  1	   -80.936	   -88.266	   -86.510	      31.2	      83.7	      45.8
	1993	    9	  4	   -81.292	   -88.110	   -86.112	      31.9	      91.5	      48.5
	1993	    9	  7	   -87.570	       NaN	       NaN	       NaN	       NaN	       NaN
	1993	    9	  8	   -87.188	   -90.720	   -87.266	      18.1	      78.6	      55.7
	1993	    9	 10	   -82.174	   -88.942	   -86.122	      28.0	      66.1	      48.5
	1993	    9	 13	   -86.754	   -90.100	   -86.512	      15.8	      50.7	      46.2
	1993	    9	 16	   -79.538	   -86.840	   -83.826	      28.7	      56.7	      44.6
	1993	    9	 19	   -77.852	   -85.276	   -81.890	      27.6	      31.8	      38.9
	1993	    9	 23	   -79.366	   -84.054	   -78.236	      21.1	      35.9	      36.1
	1993	    9	 25	   -82.880	   -85.168	   -76.292	      13.9	      23.9	      30.8
	1993	    9	 29	   -80.926	   -83.422	   -74.664	      15.4	      11.3	      30.2
	1993	   10	  3	   -81.968	   -83.344	   -72.208	      13.6	       6.0	      31.7
	1993	   10	  6	   -79.742	   -83.166	   -72.180	       8.5	       2.3	      28.7
	1993	   10	 10	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN
	1993	   10	 10	   -81.954	   -84.090	   -70.746	      10.6	       5.4	      24.8
	1993	   10	 12	   -81.933	   -83.896	   -70.374	       7.0	       1.4	      27.7
	1993	   10	 15	   -77.502	   -81.273	   -67.122	      12.5	       3.6	      28.4
	1993	   10	 18	   -78.118	   -80.392	   -64.914	      11.0	       3.6	      32.9
	1993	   10	 21	   -74.314	   -74.722	   -51.878	       4.4	       4.8	      35.1
	1993	   10	 24	   -76.636	   -75.546	   -53.840	      10.0	       6.3	      34.7
	1993	   10	 27	   -74.914	   -69.784	   -43.654	       7.6	       8.2	      46.9
	1993	   10	 30	   -73.566	   -70.108	   -43.412	       7.5	       7.6	      45.0
	1993	   11	  2	   -73.316	   -67.436	   -39.738	      10.1	      11.6	      49.8
	1993	   11	  5	   -73.438	   -68.294	   -42.916	      10.4	      20.6	      47.1
	1993	   11	  9	   -74.086	   -67.319	       NaN	       8.9	       NaN	       NaN
	1993	   11	 10	   -73.692	   -65.740	   -41.134	      11.8	      20.0	      48.0
	1993	   11	 13	   -70.402	   -61.214	   -33.064	      14.5	      22.1	      62.0
	1993	   11	 16	   -70.750	   -63.854	   -38.136	      14.3	      14.0	      49.1
