	year	month	     dyear	        T1	        T2	        T3	        O1	        O2	        O3
	1990	   11	  1990.909	   -68.374	   -63.185	   -44.684	      26.2	      28.9	      46.8
	1990	   12	  1990.917	   -59.818	   -48.978	   -30.911	      29.7	      43.0	      79.0
	1991	    1	  1991.000	   -44.216	   -38.294	   -34.290	      37.0	      72.0	      66.1
	1991	    2	  1991.500	   -44.394	   -43.391	   -41.271	      35.1	      64.9	      68.6
	1991	    3	  1991.667	   -48.775	   -50.029	   -50.356	      45.5	      82.4	      67.4
	1991	    4	  1991.750	   -55.593	   -62.187	   -66.808	      43.4	      91.1	      58.7
	1991	    5	  1991.800	   -64.608	   -74.065	   -78.982	      43.6	      99.2	      52.6
	1991	    6	  1991.833	   -62.264	   -74.251	   -86.563	      41.2	      91.3	      51.2
	1991	    7	  1991.857	   -76.755	   -86.505	   -89.303	      46.6	      97.3	      53.1
	1991	    8	  1991.875	   -78.892	   -88.264	   -89.085	      42.9	      92.3	      56.0
	1991	    9	  1991.889	   -80.236	   -85.252	   -78.861	      28.7	      39.5	      40.8
	1991	   10	  1991.900	   -72.602	   -73.156	   -56.306	      20.1	      13.0	      42.0
	1991	   11	  1991.909	   -64.649	   -55.726	   -34.196	      21.8	      42.7	      61.1
	1991	   12	  1991.917	   -47.863	   -38.084	   -31.812	      31.2	      75.1	      77.1
	1992	    1	  1992.000	   -42.849	   -39.105	   -37.061	      40.1	      77.7	      55.8
	1992	    2	  1992.500	   -44.756	   -42.437	   -40.206	      44.2	      79.0	      66.1
	1992	    3	  1992.667	   -48.514	   -50.140	   -50.126	      50.0	      90.4	      64.6
	1992	    4	  1992.750	   -57.922	   -63.040	   -65.584	      51.7	      93.8	      63.9
	1992	    5	  1992.800	   -64.970	   -74.298	   -78.989	      40.1	      89.4	      65.9
	1992	    6	  1992.833	   -70.225	   -80.781	   -88.145	      44.6	      85.5	       NaN
	1992	    7	  1992.857	   -77.733	   -87.659	   -91.829	      41.4	      87.0	      59.8
	1992	    8	  1992.875	   -80.308	   -87.929	   -87.392	      49.1	      96.5	      55.6
	1992	    9	  1992.889	   -80.211	   -84.185	   -77.613	      27.4	      49.2	      39.4
	1992	   10	  1992.900	   -74.802	   -71.269	   -49.650	      11.5	      15.3	      44.4
	1992	   11	  1992.909	   -67.273	   -58.400	   -37.203	      14.6	      25.2	      48.2
	1992	   12	  1992.917	   -51.283	   -41.331	   -32.117	      27.2	      61.2	      80.1
	1993	    1	  1993.000	   -44.807	   -40.003	   -36.255	      30.5	      69.2	      67.3
	1993	    2	  1993.500	   -43.451	   -41.647	   -39.980	      41.1	      75.4	      74.8
	1993	    3	  1993.667	   -47.218	   -46.669	   -47.001	      45.0	      93.2	      79.1
	1993	    4	  1993.750	   -57.594	   -62.166	   -66.262	      46.3	      96.7	      63.3
