	month	        T1	        T2	        T3	        O1	        O2	        O3
	    1	   -44.966	   -39.584	   -35.969	      35.6	      71.5	      65.9 
	    2	   -45.120	   -42.922	   -41.524	      38.8	      73.6	      63.3 
	    3	   -48.544	   -49.959	   -51.389	      42.4	      80.7	      61.1 
	    4	   -57.212	   -63.058	   -68.003	      44.3	      88.1	      54.9 
	    5	   -65.830	   -75.133	   -80.368	      43.5	      92.7	      53.0 
	    6	   -72.193	   -82.711	   -87.444	      45.0	      95.3	      51.5 
	    7	   -77.859	   -87.982	   -90.404	      47.1	      95.9	      52.3 
	    8	   -80.647	   -88.882	   -88.646	      43.5	      87.3	      52.1 
	    9	   -79.863	   -85.334	   -80.061	      30.2	      37.9	      38.1 
	   10	   -75.652	   -76.776	   -59.083	      20.1	       8.8	      38.6 
	   11	   -66.629	   -59.630	   -39.193	      23.3	      27.7	      58.9 
	   12	   -52.651	   -42.628	   -32.831	      29.8	      59.5	      74.7 
