	month	        T1	      svT1	        T2	      svT2	        T3	      svT3	        O1	      svO1	        O2	      svO2	        O3	      svO3
	    1	   -44.966	     2.257	   -39.584	     1.644	   -35.969	     2.173	      35.6	       4.4	      71.5	       3.9	      65.9	       6.0 
	    2	   -45.120	     0.855	   -42.922	     0.864	   -41.524	     1.391	      38.8	       3.0	      73.6	       4.0	      63.3	       7.4 
	    3	   -48.544	     1.044	   -49.959	     1.167	   -51.389	     1.628	      42.4	       4.7	      80.7	       5.7	      61.1	       7.1 
	    4	   -57.212	     1.493	   -63.058	     1.670	   -68.003	     2.580	      44.3	       5.4	      88.1	       6.2	      54.9	       6.2 
	    5	   -65.830	     1.650	   -75.133	     1.510	   -80.368	     1.693	      43.5	       5.1	      92.7	       5.5	      53.0	       5.3 
	    6	   -72.193	     2.728	   -82.711	     2.396	   -87.444	     1.814	      45.0	       4.9	      95.3	       6.4	      51.5	       4.0 
	    7	   -77.859	     1.563	   -87.982	     1.167	   -90.404	     1.601	      47.1	       5.8	      95.9	       6.4	      52.3	       4.0 
	    8	   -80.647	     1.066	   -88.882	     0.945	   -88.646	     2.153	      43.5	       5.5	      87.3	       8.8	      52.1	       3.9 
	    9	   -79.863	     1.698	   -85.334	     2.960	   -80.061	     4.193	      30.2	       3.4	      37.9	       9.8	      38.1	       6.3 
	   10	   -75.652	     2.505	   -76.776	     4.926	   -59.083	     7.484	      20.1	       5.4	       8.8	       5.9	      38.6	       8.3 
	   11	   -66.629	     6.182	   -59.630	     9.019	   -39.193	     5.774	      23.3	       6.0	      27.7	      18.0	      58.9	      15.5 
	   12	   -52.651	     5.967	   -42.628	     4.393	   -32.831	     2.542	      29.8	       6.4	      59.5	      15.9	      74.7	       6.0 
